iter	MultiClass
494	0.3750587501
495	0.3750373638
496	0.3750165762
497	0.3749839265
498	0.3749576804
499	0.3749228083
500	0.3748751233
501	0.3748469589
502	0.3747673039
503	0.3747367762
504	0.3747152692
505	0.3746947178
506	0.3746753191
507	0.3746461548
508	0.3746113321
509	0.3745638317
510	0.3745305367
511	0.3744910055
512	0.3744705061
513	0.3744585535
514	0.374412174
515	0.3743712595
516	0.374342692
517	0.3743213728
518	0.3743054181
519	0.3742713642
520	0.3742231869
521	0.3741966586
522	0.3741778481
523	0.3741481719
524	0.3741207625
525	0.3740967169
526	0.3740478832
527	0.3740220368
528	0.373982877
529	0.3739350831
530	0.3739070142
531	0.3738527827
532	0.3737925468
533	0.3737721386
534	0.3737442255
535	0.3737241918
536	0.3736937439
537	0.3736749927
538	0.3736360081
539	0.3735985814
540	0.3735680326
541	0.3735201452
542	0.3734747083
543	0.3734175432
544	0.3733606404
545	0.3733224914
546	0.3733059888
547	0.3732602146
548	0.3732121933
549	0.3731905228
550	0.3731552691
551	0.3731395735
552	0.373107405
553	0.3730683013
554	0.3730180704
555	0.3729947766
556	0.3729468465
557	0.3728900916
558	0.3728416837
559	0.3728126035
560	0.3727775272
561	0.3727415222
562	0.3727037913
563	0.3726601536
564	0.3726080942
565	0.3725654975
566	0.3725432681
567	0.3725037895
568	0.3724660972
569	0.372445208
570	0.3724259926
571	0.3723983828
572	0.3723723919
573	0.3723160471
574	0.372299314
575	0.3722517204
576	0.3722045027
577	0.3721660017
578	0.3721371968
579	0.3721134204
580	0.3720881533
581	0.3720681497
582	0.3720381748
583	0.3719874872
584	0.3719625585
585	0.371903473
586	0.371865263
587	0.3718056482
588	0.3717601606
589	0.3717432792
590	0.3717266464
591	0.3716903475
592	0.3716535954
593	0.3716310452
594	0.3715907282
595	0.3715608487
596	0.3715160629
597	0.3714825867
598	0.3714423785
599	0.3713777213
600	0.3713360075
601	0.3713183812
602	0.3712792679
603	0.3712599138
604	0.3712327901
605	0.371213307
606	0.3711978098
607	0.3711569368
608	0.3711118887
609	0.3710785621
610	0.3710282597
611	0.3710000341
612	0.3709675508
613	0.3709411561
614	0.3709001359
615	0.3708845207
616	0.3708512612
617	0.3708251403
618	0.3707853049
619	0.3707379894
620	0.3707072201
621	0.3706788597
622	0.3706640032
623	0.3706212357
624	0.3705931684
625	0.370569954
626	0.3705340303
627	0.3704759462
628	0.3704370248
629	0.3703935184
630	0.3703555453
631	0.370310328
632	0.3702885926
633	0.3702648706
634	0.3702132421
635	0.3701753504
636	0.3701109727
637	0.3700934108
638	0.3700459658
639	0.3700287905
640	0.3700041938
641	0.3699608218
642	0.3698906932
643	0.3698742567
644	0.3698476364
645	0.369793241
646	0.3697668689
647	0.3697091434
648	0.3696920655
649	0.3696562491
650	0.3696116767
651	0.3695837709
652	0.3695705739
653	0.3695296827
654	0.3694971821
655	0.3694202449
656	0.3693833253
657	0.3693684358
658	0.3693324227
659	0.3693092253
660	0.3692883076
661	0.3692678521
662	0.3692179618
663	0.3691532592
664	0.3691260734
665	0.3690862367
666	0.3690645576
667	0.3690201149
668	0.3689918145
669	0.3689812341
670	0.3689518163
671	0.3689407747
672	0.3689209135
673	0.3689008928
674	0.3688798698
675	0.3688246108
676	0.3687964406
677	0.3687538548
678	0.368734253
679	0.3687085449
680	0.3686829809
681	0.3686267875
682	0.3686004825
683	0.3685672921
684	0.3685336395
685	0.3684974046
686	0.3684576444
687	0.3684234636
688	0.3683966507
689	0.3683576441
690	0.3683270795
691	0.3683048534
692	0.3682814051
693	0.3682551698
694	0.3682304117
695	0.3681992463
696	0.3681738166
697	0.3681356983
698	0.3681080874
699	0.3680724273
700	0.3680485089
701	0.368025113
702	0.3679948753
703	0.3679762249
704	0.3679534466
705	0.3679226752
706	0.3678983499
707	0.3678635721
708	0.3678271584
709	0.3678163883
710	0.3677938952
711	0.3677601249
712	0.3677322208
713	0.3677165184
714	0.3676817088
715	0.3676356683
716	0.3676182039
717	0.3675861067
718	0.3675389504
719	0.3675210035
720	0.3675023215
721	0.3674492208
722	0.3674255667
723	0.3673980981
724	0.3673663423
725	0.3673454521
726	0.3673163725
727	0.3673021476
728	0.3672737404
729	0.3672404316
730	0.3672221
731	0.3671803034
732	0.3671472887
733	0.3671267848
734	0.3670916717
735	0.3670669741
736	0.3670271714
737	0.3669552558
738	0.3669160613
739	0.3668960081
740	0.3668799418
741	0.3668573013
742	0.366812423
743	0.3667857046
744	0.3667304323
745	0.3667141494
746	0.3666861107
747	0.3666651831
748	0.366651104
749	0.3666369098
750	0.3666094533
751	0.36659353
752	0.3665467066
753	0.3665105911
754	0.3664688594
755	0.3664356849
756	0.3664030762
757	0.3663645714
758	0.3663527467
759	0.3663245258
760	0.366285349
761	0.3662581577
762	0.3662293778
763	0.3661953322
764	0.36616693
765	0.3661524064
766	0.3661409903
767	0.3661139375
768	0.3660826948
769	0.3660598621
770	0.3660060342
771	0.3659925699
772	0.3659487699
773	0.3659129376
774	0.3658761253
775	0.3658560107
776	0.3658356072
777	0.3657672781
778	0.3657540202
779	0.3657396054
780	0.3657200204
781	0.3656835301
782	0.3656517606
783	0.3656304567
784	0.365607565
785	0.3655656898
786	0.3655444711
787	0.3655087123
788	0.3654717382
789	0.3654567545
790	0.3654314987
791	0.3654062788
792	0.3653899851
793	0.3653707964
794	0.3653521784
795	0.365321677
796	0.3652989996
797	0.3652715637
798	0.3652469527
799	0.3652212448
800	0.365209269
801	0.3651767352
802	0.3651345817
803	0.3651079007
804	0.3650691819
805	0.3650558548
806	0.3650245932
807	0.3650081973
808	0.364994409
809	0.3649777181
810	0.364937753
811	0.3649107678
812	0.3648750633
813	0.3648277321
814	0.364778944
815	0.3647547817
816	0.364738888
817	0.3647100982
818	0.3647027663
819	0.3646735706
820	0.3646530335
821	0.3646171435
822	0.3645946269
823	0.3645573014
824	0.3645139652
825	0.3644837855
826	0.3644472575
827	0.3644257432
828	0.3644060412
829	0.3643825094
830	0.364349816
831	0.3643091703
832	0.3642671617
833	0.364238962
834	0.3642119146
835	0.3641745085
836	0.3641486857
837	0.3641365004
838	0.3641181606
839	0.3640758966
840	0.3640578863
841	0.3640122871
842	0.3639977557
843	0.3639787774
844	0.3639638978
845	0.3639409941
846	0.3639205098
847	0.3638971639
848	0.3638733828
849	0.3638449964
850	0.3638326389
851	0.3638128013
852	0.3637940236
853	0.3637582351
854	0.3637192274
855	0.3636923129
856	0.3636576211
857	0.3636473582
858	0.363636657
859	0.3636169365
860	0.3635805317
861	0.3635349784
862	0.3634998175
863	0.3634826053
864	0.3634577828
865	0.3634430442
866	0.3634192546
867	0.3633979628
868	0.3633512945
869	0.3633036455
870	0.3632882831
871	0.3632509321
872	0.3632366012
873	0.3632137379
874	0.3631650266
875	0.3631523614
876	0.3631383384
877	0.3631140032
878	0.3630987358
879	0.3630833508
880	0.3630570064
881	0.3630370244
882	0.3630203134
883	0.3630102963
884	0.3629883314
885	0.3629496503
886	0.3629194778
887	0.3628951862
888	0.3628811805
889	0.3628528004
890	0.3628383224
891	0.362812324
892	0.3627828756
893	0.3627757525
894	0.3627419905
895	0.3627226176
896	0.362685425
897	0.3626752023
898	0.3626262942
899	0.3626034681
900	0.3625786828
901	0.3625503012
902	0.3625279888
903	0.3624734442
904	0.3624629279
905	0.3624165119
906	0.3623806868
907	0.3623676757
908	0.3623266863
909	0.3622805957
910	0.3622649112
911	0.362232868
912	0.3622077966
913	0.3621709966
914	0.3621570063
915	0.362125122
916	0.3620915509
917	0.3620772139
918	0.3620570077
919	0.3620421257
920	0.3620158777
921	0.3619951876
922	0.3619702239
923	0.3619265147
924	0.3619112532
925	0.3618666992
926	0.3618508783
927	0.3618304782
928	0.3618133304
929	0.3617784724
930	0.3617667723
931	0.3617332319
932	0.3617084939
933	0.361681375
934	0.3616300096
935	0.361594459
936	0.3615609624
937	0.3615364441
938	0.3615147217
939	0.3614911065
940	0.3614777355
941	0.3614403493
942	0.3614143164
943	0.3613943391
944	0.3613817207
945	0.3613585942
946	0.361332193
947	0.3612775695
948	0.3612516494
949	0.3612194308
950	0.3612111207
951	0.3611938316
952	0.3611584787
953	0.3611180954
954	0.3611015897
955	0.3610690681
956	0.3610258308
957	0.3609841454
958	0.3609752347
959	0.3609184825
960	0.360881492
961	0.3608579226
962	0.3608245848
963	0.3607950389
964	0.3607721482
965	0.3607453478
966	0.3607151608
967	0.3606964028
968	0.3606588503
969	0.3606278445
970	0.3605833819
971	0.3605566447
972	0.3605176575
973	0.3604979722
974	0.3604621262
975	0.3604341445
976	0.3604176884
977	0.3603823395
978	0.3603697326
979	0.3603461002
980	0.3602913112
981	0.3602387611
982	0.3602108138
983	0.3601770697
984	0.3601535976
985	0.3601117649
986	0.3600829388
987	0.3600708302
988	0.3600486052
989	0.3600386155
990	0.3600192392
991	0.3599890147
992	0.3599687205
993	0.3599450479
994	0.3599382163
995	0.3598911298
996	0.3598745646
997	0.3598595969
998	0.3598362035
999	0.3598134185
